gameweek,player_name,team,position,predicted_state,actual_state,predicted_xp,actual_points,predicted_xm,actual_minutes,decision_relevance,ledger_category,estimated_point_cost
10,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.93,12,76.6,90,STARTER,HARMLESS,0.0
10,Riccardo Calafiori,ARS,DEFENDER,START,START,5.12,6,76.6,71,STARTER,HARMLESS,0.0
10,Jurriën Timber,ARS,DEFENDER,START,START,5.28,6,76.6,90,CAPTAIN,HARMLESS,0.0
10,Antoine Semenyo,BOU,MIDFIELDER,START,START,4.01,2,76.8,90,STARTER,HARMLESS,0.0
10,Bryan Mbeumo,MUN,MIDFIELDER,START,START,4.22,2,76.7,90,STARTER,HARMLESS,0.0
10,Danny Welbeck,BHA,FORWARD,START,START,3.94,6,64.9,81,STARTER,HARMLESS,0.0
10,Marc Cucurella Saseta,CHE,DEFENDER,START,START,3.01,7,76.6,90,STARTER,HARMLESS,0.0
10,Enzo Fernández,CHE,MIDFIELDER,START,START,3.57,2,57.8,90,STARTER,HARMLESS,0.0
10,Marc Guiu Paz,CHE,FORWARD,START,NO_PLAY,1.57,0,42.8,0,BENCH,HARMLESS,0.0
10,Norberto Bercique Gomes Betuncal,EVE,FORWARD,START,SUB,2.7,1,57.1,33,BENCH,HARMLESS,0.0
10,Omar Marmoush,MCI,MIDFIELDER,SUB,SUB,1.6,1,19.1,8,BENCH,HARMLESS,0.0
10,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.32,5,76.8,90,STARTER,HARMLESS,0.0
10,Nick Pope,NEW,GOALKEEPER,START,START,4.02,3,79.6,90,BENCH,HARMLESS,0.0
10,Guglielmo Vicario,TOT,GOALKEEPER,START,START,4.15,4,79.6,90,STARTER,HARMLESS,0.0
10,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.82,2,75.7,72,STARTER,HARMLESS,0.0
11,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.61,1,76.6,90,STARTER,HARMLESS,0.0
11,Riccardo Calafiori,ARS,DEFENDER,START,START,4.58,1,76.5,90,STARTER,HARMLESS,0.0
11,Jurriën Timber,ARS,DEFENDER,START,START,4.76,1,76.6,90,STARTER,HARMLESS,0.0
11,Antoine Semenyo,BOU,MIDFIELDER,START,START,4.15,0,76.8,90,STARTER,HARMLESS,0.0
11,Bryan Mbeumo,MUN,MIDFIELDER,START,START,4.09,7,76.8,90,STARTER,HARMLESS,0.0
11,Danny Welbeck,BHA,FORWARD,START,START,3.8,2,72.6,84,STARTER,HARMLESS,0.0
11,Marc Cucurella Saseta,CHE,DEFENDER,START,START,4.66,6,76.6,90,STARTER,HARMLESS,0.0
11,Enzo Fernández,CHE,MIDFIELDER,START,START,4.5,3,57.8,82,STARTER,HARMLESS,0.0
11,Jean-Philippe Mateta,CRY,FORWARD,START,START,5.14,2,76.7,90,CAPTAIN,HARMLESS,0.0
11,Norberto Bercique Gomes Betuncal,EVE,FORWARD,START,SUB,2.73,1,53.9,11,BENCH,HARMLESS,0.0
11,Omar Marmoush,MCI,MIDFIELDER,SUB,SUB,1.7,1,20.3,16,BENCH,HARMLESS,0.0
11,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.21,5,76.8,90,STARTER,HARMLESS,0.0
11,Nick Pope,NEW,GOALKEEPER,START,START,3.9,3,79.6,76,BENCH,HARMLESS,0.0
11,Guglielmo Vicario,TOT,GOALKEEPER,START,START,4.05,1,79.6,90,STARTER,HARMLESS,0.0
11,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.55,2,73.0,66,BENCH,HARMLESS,0.0
12,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,NO_PLAY,4.97,0,76.6,0,STARTER,BOTH,5.0
12,Riccardo Calafiori,ARS,DEFENDER,START,START,5.16,2,76.5,90,STARTER,HARMLESS,0.0
12,Jurriën Timber,ARS,DEFENDER,START,START,5.11,5,76.6,90,STARTER,HARMLESS,0.0
12,Antoine Semenyo,BOU,MIDFIELDER,START,NO_PLAY,5.27,0,76.8,0,CAPTAIN,BOTH,5.3
12,Bryan Mbeumo,MUN,MIDFIELDER,START,START,4.52,1,76.8,90,STARTER,HARMLESS,0.0
12,Danny Welbeck,BHA,FORWARD,START,START,4.05,8,76.6,90,STARTER,HARMLESS,0.0
12,Marc Cucurella Saseta,CHE,DEFENDER,START,START,3.78,6,76.6,90,AUTOSUB_IN,HARMLESS,0.0
12,Enzo Fernández,CHE,MIDFIELDER,START,START,4.29,11,72.4,90,STARTER,HARMLESS,0.0
12,Ismaïla Sarr,CRY,MIDFIELDER,START,START,4.11,3,76.8,90,STARTER,HARMLESS,0.0
12,Jean-Philippe Mateta,CRY,FORWARD,START,START,4.82,1,76.7,59,STARTER,HARMLESS,0.0
12,Norberto Bercique Gomes Betuncal,EVE,FORWARD,START,SUB,2.04,1,43.3,9,BENCH,HARMLESS,0.0
12,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.55,2,76.8,90,STARTER,HARMLESS,0.0
12,Nick Pope,NEW,GOALKEEPER,START,START,3.84,3,79.6,90,STARTER,HARMLESS,0.0
12,Guglielmo Vicario,TOT,GOALKEEPER,START,START,2.76,1,79.6,90,BENCH,HARMLESS,0.0
12,Pedro Porro Sauceda,TOT,DEFENDER,START,SUB,2.03,0,64.9,12,AUTOSUB_IN,HARMLESS,0.0
13,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,NO_PLAY,3.53,0,55.3,0,BENCH,HARMLESS,0.0
