gameweek,player_name,team,position,predicted_state,actual_state,predicted_xp,actual_points,predicted_xm,actual_minutes,decision_relevance,ledger_category,estimated_point_cost
21,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.91,1,79.4,90,STARTER,HARMLESS,0.0
22,Jurriën Timber,ARS,DEFENDER,START,START,3.95,5,73.6,90,STARTER,HARMLESS,0.0
22,Declan Rice,ARS,MIDFIELDER,START,START,3.23,3,57.8,90,BENCH,HARMLESS,0.0
22,Antoine Semenyo,MCI,MIDFIELDER,START,START,3.64,2,76.8,90,STARTER,HARMLESS,0.0
22,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.36,2,76.6,90,CAPTAIN,HARMLESS,0.0
22,Enzo Fernández,CHE,MIDFIELDER,START,START,4.2,6,71.5,84,STARTER,HARMLESS,0.0
22,Jean-Philippe Mateta,CRY,FORWARD,START,START,3.83,2,76.6,90,STARTER,HARMLESS,0.0
22,James Tarkowski,EVE,DEFENDER,START,START,2.61,8,76.6,90,BENCH,HARMLESS,0.0
22,Ibrahima Konaté,LIV,DEFENDER,START,START,4.03,2,76.6,90,STARTER,HARMLESS,0.0
22,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,3.32,10,43.8,90,BENCH,HARMLESS,0.0
22,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,SUB,3.44,4,76.7,19,STARTER,PREDICTION_ERROR,0.0
22,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.98,1,79.6,90,STARTER,HARMLESS,0.0
22,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.68,4,76.6,90,STARTER,HARMLESS,0.0
22,Micky van de Ven,TOT,DEFENDER,START,START,4.01,0,76.6,90,STARTER,HARMLESS,0.0
22,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.49,2,57.2,90,STARTER,HARMLESS,0.0
22,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.02,2,79.6,90,BENCH,HARMLESS,0.0
23,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.63,1,75.8,90,STARTER,HARMLESS,0.0
23,Jurriën Timber,ARS,DEFENDER,START,START,4.64,1,75.8,90,STARTER,HARMLESS,0.0
23,Declan Rice,ARS,MIDFIELDER,START,START,3.87,1,72.6,90,STARTER,HARMLESS,0.0
23,Antoine Semenyo,MCI,MIDFIELDER,START,START,4.9,8,76.8,90,CAPTAIN,HARMLESS,0.0
23,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.66,2,76.6,90,STARTER,HARMLESS,0.0
23,Enzo Fernández,CHE,MIDFIELDER,START,START,3.48,8,60.1,90,STARTER,HARMLESS,0.0
23,Jean-Philippe Mateta,CRY,FORWARD,START,START,4.09,2,76.6,84,STARTER,HARMLESS,0.0
23,James Tarkowski,EVE,DEFENDER,START,START,4.14,4,76.6,90,STARTER,HARMLESS,0.0
23,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,2.88,5,45.9,90,BENCH,HARMLESS,0.0
23,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,SUB,2.52,9,57.9,21,BENCH,BOTH,6.5
23,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.38,1,79.6,90,BENCH,HARMLESS,0.0
23,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.21,1,76.6,45,BENCH,HARMLESS,0.0
23,Micky van de Ven,TOT,DEFENDER,START,START,3.42,7,76.6,90,STARTER,HARMLESS,0.0
23,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.56,2,72.6,90,STARTER,HARMLESS,0.0
23,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,4.42,8,79.6,90,STARTER,HARMLESS,0.0
24,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,3.97,8,76.6,90,STARTER,HARMLESS,0.0
24,Jurriën Timber,ARS,DEFENDER,START,START,3.98,5,76.6,90,STARTER,HARMLESS,0.0
24,Declan Rice,ARS,MIDFIELDER,START,START,3.49,3,72.6,90,STARTER,HARMLESS,0.0
24,Antoine Semenyo,MCI,MIDFIELDER,START,START,3.92,7,76.8,90,STARTER,HARMLESS,0.0
24,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.9,2,76.6,90,STARTER,HARMLESS,0.0
24,Enzo Fernández,CHE,MIDFIELDER,START,START,4.23,8,60.1,90,STARTER,HARMLESS,0.0
24,Jean-Philippe Mateta,CRY,FORWARD,START,NO_PLAY,3.74,0,76.6,0,STARTER,BOTH,3.7
24,James Tarkowski,EVE,DEFENDER,START,START,2.65,2,76.6,90,AUTOSUB_IN,HARMLESS,0.0
24,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.37,10,63.0,90,CAPTAIN,HARMLESS,0.0
24,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,START,2.81,9,44.7,73,BENCH,HARMLESS,0.0
24,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.12,1,79.6,90,BENCH,HARMLESS,0.0
24,Micky van de Ven,TOT,DEFENDER,START,NO_PLAY,2.96,0,76.6,0,BENCH,HARMLESS,0.0
24,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.58,2,72.6,84,STARTER,HARMLESS,0.0
24,Nordi Mukiele,SUN,DEFENDER,START,START,4.05,9,76.6,90,STARTER,HARMLESS,0.0
24,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.49,2,79.6,90,STARTER,HARMLESS,0.0
25,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,5.1,6,76.6,90,CAPTAIN,HARMLESS,0.0
25,Jurriën Timber,ARS,DEFENDER,START,START,5.06,6,76.6,90,STARTER,HARMLESS,0.0
25,Declan Rice,ARS,MIDFIELDER,START,START,4.2,5,76.8,90,STARTER,HARMLESS,0.0
25,Antoine Semenyo,MCI,MIDFIELDER,START,START,3.65,2,76.8,90,STARTER,HARMLESS,0.0
25,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.11,5,76.6,90,STARTER,HARMLESS,0.0
25,Trevoh Chalobah,CHE,DEFENDER,START,START,3.56,4,76.6,90,STARTER,HARMLESS,0.0
25,Enzo Fernández,CHE,MIDFIELDER,START,START,4.41,2,76.8,90,STARTER,HARMLESS,0.0
25,Jean-Philippe Mateta,CRY,FORWARD,START,NO_PLAY,2.69,0,50.8,0,BENCH,HARMLESS,0.0
25,James Tarkowski,EVE,DEFENDER,START,START,2.99,2,76.6,90,STARTER,HARMLESS,0.0
25,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.75,10,72.7,90,STARTER,HARMLESS,0.0
25,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,START,2.88,3,44.7,74,BENCH,HARMLESS,0.0
25,Guglielmo Vicario,TOT,GOALKEEPER,START,START,2.78,3,79.6,90,BENCH,HARMLESS,0.0
25,Micky van de Ven,TOT,DEFENDER,START,START,2.08,1,55.1,90,BENCH,HARMLESS,0.0
25,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.85,7,76.6,90,STARTER,HARMLESS,0.0
25,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.01,3,79.6,90,STARTER,HARMLESS,0.0
26,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,8.51,4,76.6,90,CAPTAIN,HARMLESS,0.0
26,Jurriën Timber,ARS,DEFENDER,START,START,8.46,1,76.6,90,STARTER,HARMLESS,0.0
26,Declan Rice,ARS,MIDFIELDER,START,START,7.39,9,76.8,90,STARTER,HARMLESS,0.0
26,Antoine Semenyo,MCI,MIDFIELDER,START,START,4.27,14,76.2,90,STARTER,HARMLESS,0.0
26,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.18,2,76.6,90,STARTER,HARMLESS,0.0
26,Trevoh Chalobah,CHE,DEFENDER,START,START,4.07,3,76.5,90,STARTER,HARMLESS,0.0
26,Enzo Fernández,CHE,MIDFIELDER,START,START,4.83,2,76.2,90,STARTER,HARMLESS,0.0
26,James Tarkowski,EVE,DEFENDER,START,START,3.6,1,76.5,90,STARTER,HARMLESS,0.0
26,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.6,2,76.8,90,STARTER,HARMLESS,0.0
26,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,START,2.89,2,54.0,68,BENCH,HARMLESS,0.0
26,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.5,2,79.6,90,BENCH,HARMLESS,0.0
26,Micky van de Ven,TOT,DEFENDER,START,START,2.96,3,61.0,90,BENCH,HARMLESS,0.0
26,Dominic Calvert-Lewin,LEE,FORWARD,START,NO_PLAY,3.55,0,76.6,0,BENCH,HARMLESS,0.0
26,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.8,7,79.5,90,STARTER,HARMLESS,0.0
26,Mateus Mané,WOL,FORWARD,START,START,4.31,2,70.8,90,STARTER,HARMLESS,0.0
27,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,3.94,2,76.6,90,STARTER,HARMLESS,0.0
27,Jurriën Timber,ARS,DEFENDER,START,START,3.91,3,76.6,56,STARTER,HARMLESS,0.0
27,Declan Rice,ARS,MIDFIELDER,START,START,3.62,4,76.8,90,STARTER,HARMLESS,0.0
27,Antoine Semenyo,MCI,MIDFIELDER,START,START,4.44,4,76.8,86,STARTER,HARMLESS,0.0
27,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.5,2,76.6,90,STARTER,HARMLESS,0.0
27,Trevoh Chalobah,CHE,DEFENDER,START,START,4.42,2,76.6,90,STARTER,HARMLESS,0.0
27,Cole Palmer,CHE,MIDFIELDER,START,START,5.63,3,71.3,74,CAPTAIN,HARMLESS,0.0
27,Enzo Fernández,CHE,MIDFIELDER,START,START,5.19,2,76.8,90,STARTER,HARMLESS,0.0
27,James Tarkowski,EVE,DEFENDER,START,START,3.58,1,76.6,90,STARTER,HARMLESS,0.0
27,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.49,2,76.8,90,STARTER,HARMLESS,0.0
27,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.03,0,79.6,90,BENCH,HARMLESS,0.0
27,Micky van de Ven,TOT,DEFENDER,START,START,2.5,0,61.0,90,BENCH,HARMLESS,0.0
27,Dominic Calvert-Lewin,LEE,FORWARD,START,START,2.58,2,50.6,90,BENCH,HARMLESS,0.0
27,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.87,5,79.6,90,STARTER,HARMLESS,0.0
27,Mateus Mané,WOL,FORWARD,START,START,2.11,2,70.8,90,BENCH,HARMLESS,0.0
28,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.42,9,76.6,90,STARTER,HARMLESS,0.0
28,Jurriën Timber,ARS,DEFENDER,START,START,3.99,8,65.8,90,STARTER,HARMLESS,0.0
28,Declan Rice,ARS,MIDFIELDER,START,START,3.9,5,76.8,75,STARTER,HARMLESS,0.0
28,Antoine Semenyo,MCI,MIDFIELDER,START,START,4.02,8,76.8,90,STARTER,HARMLESS,0.0
28,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.38,6,76.6,90,STARTER,HARMLESS,0.0
28,Cole Palmer,CHE,MIDFIELDER,START,START,3.29,1,58.6,85,STARTER,HARMLESS,0.0
28,Enzo Fernández,CHE,MIDFIELDER,START,START,3.4,1,76.8,85,STARTER,HARMLESS,0.0
28,James Tarkowski,EVE,DEFENDER,START,START,2.9,3,76.6,90,STARTER,HARMLESS,0.0
28,Virgil van Dijk,LIV,DEFENDER,START,START,3.98,7,76.6,90,STARTER,HARMLESS,0.0
28,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.88,13,76.8,90,CAPTAIN,HARMLESS,0.0
28,Guglielmo Vicario,TOT,GOALKEEPER,START,START,2.94,1,79.6,90,BENCH,HARMLESS,0.0
28,Micky van de Ven,TOT,DEFENDER,START,START,2.67,0,75.0,90,BENCH,HARMLESS,0.0
28,Dominic Calvert-Lewin,LEE,FORWARD,START,START,2.99,2,57.1,90,BENCH,HARMLESS,0.0
28,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.48,5,79.6,90,STARTER,HARMLESS,0.0
28,Mateus Mané,WOL,FORWARD,START,START,2.27,2,76.6,90,BENCH,HARMLESS,0.0
29,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,3.43,11,76.5,90,STARTER,HARMLESS,0.0
29,Jurriën Timber,ARS,DEFENDER,START,START,2.97,13,63.9,90,BENCH,HARMLESS,0.0
29,Declan Rice,ARS,MIDFIELDER,START,START,3.21,3,73.6,90,STARTER,HARMLESS,0.0
29,Antoine Semenyo,MCI,MIDFIELDER,START,START,4.51,7,76.8,90,STARTER,HARMLESS,0.0
29,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.8,2,76.6,90,STARTER,HARMLESS,0.0
29,Cole Palmer,CHE,MIDFIELDER,START,START,3.97,9,73.5,84,STARTER,HARMLESS,0.0
29,Enzo Fernández,CHE,MIDFIELDER,START,START,3.58,4,76.0,78,STARTER,HARMLESS,0.0
29,Jordan Pickford,EVE,GOALKEEPER,START,START,4.44,6,79.5,90,STARTER,HARMLESS,0.0
29,James Tarkowski,EVE,DEFENDER,START,START,4.28,15,76.5,90,STARTER,HARMLESS,0.0
29,Virgil van Dijk,LIV,DEFENDER,START,START,3.38,1,76.6,90,STARTER,HARMLESS,0.0
29,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.57,8,76.8,90,CAPTAIN,HARMLESS,0.0
29,Micky van de Ven,TOT,DEFENDER,START,START,3.04,-3,75.0,37,BENCH,HARMLESS,0.0
29,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.46,2,57.0,90,STARTER,HARMLESS,0.0
29,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.9,1,79.6,90,BENCH,HARMLESS,0.0
29,Mateus Mané,WOL,FORWARD,START,START,2.26,2,76.6,69,BENCH,HARMLESS,0.0
30,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.49,9,76.6,90,STARTER,HARMLESS,0.0
30,Jurriën Timber,ARS,DEFENDER,START,START,4.11,1,65.8,37,STARTER,HARMLESS,0.0
30,Declan Rice,ARS,MIDFIELDER,START,START,3.86,3,76.7,90,STARTER,HARMLESS,0.0
30,Antoine Semenyo,MCI,MIDFIELDER,START,START,4.08,2,76.8,74,STARTER,HARMLESS,0.0
30,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,5.06,6,76.6,90,STARTER,HARMLESS,0.0
30,Cole Palmer,CHE,MIDFIELDER,START,START,4.86,2,76.6,90,STARTER,HARMLESS,0.0
30,Enzo Fernández,CHE,MIDFIELDER,START,START,4.25,2,76.7,90,STARTER,HARMLESS,0.0
30,Daniel Muñoz Mejía,CRY,DEFENDER,START,NO_PLAY,3.86,0,63.4,0,STARTER,BOTH,3.9
30,Jordan Pickford,EVE,GOALKEEPER,START,START,2.72,2,79.6,90,BENCH,HARMLESS,0.0
30,James Tarkowski,EVE,DEFENDER,START,NO_PLAY,2.26,0,76.6,0,BENCH,HARMLESS,0.0
30,Virgil van Dijk,LIV,DEFENDER,START,START,3.64,2,76.6,90,STARTER,HARMLESS,0.0
30,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,5.06,10,76.8,90,CAPTAIN,HARMLESS,0.0
30,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.32,0,72.8,90,AUTOSUB_IN,HARMLESS,0.0
30,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.47,2,79.6,90,STARTER,HARMLESS,0.0
30,Mateus Mané,WOL,FORWARD,START,START,2.12,1,76.5,45,BENCH,HARMLESS,0.0
31,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.14,4,76.6,90,STARTER,HARMLESS,0.0
31,Cole Palmer,CHE,MIDFIELDER,START,START,4.36,2,76.7,90,BENCH,HARMLESS,0.0
31,Enzo Fernández,CHE,MIDFIELDER,START,START,3.81,2,76.7,90,STARTER,HARMLESS,0.0
31,Jordan Pickford,EVE,GOALKEEPER,START,START,3.8,7,79.6,90,BENCH,HARMLESS,0.0
31,James Tarkowski,EVE,DEFENDER,START,START,2.98,6,55.3,90,STARTER,HARMLESS,0.0
31,Kenny Tete,FUL,DEFENDER,START,NO_PLAY,3.58,0,76.6,0,BENCH,HARMLESS,0.0
31,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.25,13,76.8,90,CAPTAIN,HARMLESS,0.0
31,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.61,2,72.8,90,STARTER,HARMLESS,0.0
32,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.5,4,76.6,90,STARTER,HARMLESS,0.0
32,Jurriën Timber,ARS,DEFENDER,START,NO_PLAY,3.95,0,64.4,0,STARTER,BOTH,4.0
32,Declan Rice,ARS,MIDFIELDER,START,START,3.78,4,76.7,90,STARTER,HARMLESS,0.0
32,Antoine Semenyo,MCI,MIDFIELDER,START,START,4.0,2,76.7,90,STARTER,HARMLESS,0.0
32,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.49,13,76.6,90,STARTER,HARMLESS,0.0
32,Cole Palmer,CHE,MIDFIELDER,START,START,4.32,4,76.8,90,STARTER,HARMLESS,0.0
32,Enzo Fernández,CHE,MIDFIELDER,START,NO_PLAY,3.84,0,76.7,0,STARTER,BOTH,3.8
32,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,2.98,4,51.8,90,AUTOSUB_IN,HARMLESS,0.0
32,Jordan Pickford,EVE,GOALKEEPER,START,START,3.31,0,79.6,90,BENCH,HARMLESS,0.0
32,James Tarkowski,EVE,DEFENDER,START,START,2.67,3,61.1,90,AUTOSUB_IN,HARMLESS,0.0
32,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,5.64,4,76.8,90,CAPTAIN,HARMLESS,0.0
32,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.14,2,76.6,90,STARTER,HARMLESS,0.0
32,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.43,7,79.6,90,STARTER,HARMLESS,0.0
32,Mateus Mané,WOL,FORWARD,START,SUB,1.81,1,58.0,29,BENCH,HARMLESS,0.0
32,Axel Disasi,WHU,DEFENDER,START,START,3.51,6,76.0,90,STARTER,HARMLESS,0.0
33,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,2.86,0,76.6,90,STARTER,HARMLESS,0.0
33,Jurriën Timber,ARS,DEFENDER,START,NO_PLAY,2.27,0,53.2,0,BENCH,HARMLESS,0.0
33,Declan Rice,ARS,MIDFIELDER,START,START,2.95,2,76.8,90,AUTOSUB_IN,HARMLESS,0.0
33,Antoine Semenyo,MCI,MIDFIELDER,START,START,8.26,3,76.7,64,STARTER,HARMLESS,0.0
33,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.61,2,76.6,90,STARTER,HARMLESS,0.0
33,Danny Welbeck,BHA,FORWARD,START,SUB,7.12,6,72.1,7,STARTER,PREDICTION_ERROR,1.1
33,Cole Palmer,CHE,MIDFIELDER,START,NO_PLAY,8.54,0,76.8,0,CAPTAIN,BOTH,8.5
33,Enzo Fernández,CHE,MIDFIELDER,START,START,6.01,2,51.1,90,STARTER,HARMLESS,0.0
33,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,3.64,7,60.2,90,STARTER,HARMLESS,0.0
33,Jordan Pickford,EVE,GOALKEEPER,START,START,3.8,1,79.6,90,BENCH,HARMLESS,0.0
33,James Tarkowski,EVE,DEFENDER,START,START,3.15,1,61.1,90,STARTER,HARMLESS,0.0
33,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.71,6,76.8,90,STARTER,HARMLESS,0.0
33,Dominic Calvert-Lewin,LEE,FORWARD,START,START,7.52,2,76.6,90,STARTER,HARMLESS,0.0
33,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,7.29,6,79.6,90,STARTER,HARMLESS,0.0
33,Axel Disasi,WHU,DEFENDER,START,START,2.6,9,76.0,90,BENCH,HARMLESS,0.0
34,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.35,8,76.6,90,STARTER,HARMLESS,0.0
34,Declan Rice,ARS,MIDFIELDER,START,START,3.69,2,76.8,90,STARTER,HARMLESS,0.0
34,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.85,1,76.6,90,STARTER,HARMLESS,0.0
34,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,2.47,6,61.1,90,AUTOSUB_IN,HARMLESS,0.0
34,Jordan Pickford,EVE,GOALKEEPER,START,START,3.24,1,79.6,90,STARTER,HARMLESS,0.0
34,James Tarkowski,EVE,DEFENDER,START,START,2.9,3,75.7,90,STARTER,HARMLESS,0.0
34,Virgil van Dijk,LIV,DEFENDER,START,START,3.66,4,76.6,90,AUTOSUB_IN,HARMLESS,0.0
34,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,5.14,5,76.8,90,CAPTAIN,HARMLESS,0.0
34,Axel Disasi,WHU,DEFENDER,START,START,3.11,3,76.0,90,AUTOSUB_IN,HARMLESS,0.0
35,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,4.35,6,76.6,90,STARTER,HARMLESS,0.0
35,Declan Rice,ARS,MIDFIELDER,START,START,3.68,5,76.8,63,STARTER,HARMLESS,0.0
35,Antoine Semenyo,MCI,MIDFIELDER,START,START,3.88,2,76.5,74,STARTER,HARMLESS,0.0
35,Keane Lewis-Potter,BRE,DEFENDER,START,START,4.08,11,76.6,90,STARTER,HARMLESS,0.0
35,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.8,6,76.6,90,STARTER,HARMLESS,0.0
35,Danny Welbeck,BHA,FORWARD,START,START,3.01,5,57.1,80,BENCH,HARMLESS,0.0
35,Cole Palmer,CHE,MIDFIELDER,START,START,3.51,0,51.2,90,STARTER,HARMLESS,0.0
35,Enzo Fernández,CHE,MIDFIELDER,START,START,3.47,2,57.8,90,STARTER,HARMLESS,0.0
35,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,2.8,0,75.7,45,BENCH,HARMLESS,0.0
35,Jordan Pickford,EVE,GOALKEEPER,START,START,3.25,1,79.6,90,BENCH,HARMLESS,0.0
35,James Tarkowski,EVE,DEFENDER,START,START,2.96,0,75.7,90,STARTER,HARMLESS,0.0
35,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,5.13,5,76.8,90,CAPTAIN,HARMLESS,0.0
35,Dominic Calvert-Lewin,LEE,FORWARD,START,START,4.3,6,76.6,90,STARTER,HARMLESS,0.0
35,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.48,1,79.6,90,STARTER,HARMLESS,0.0
35,Axel Disasi,WHU,DEFENDER,START,START,2.57,1,76.0,90,BENCH,HARMLESS,0.0
36,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,3.9,11,76.6,90,STARTER,HARMLESS,0.0
36,Declan Rice,ARS,MIDFIELDER,START,START,3.34,3,76.4,90,STARTER,HARMLESS,0.0
36,Antoine Semenyo,MCI,MIDFIELDER,START,START,7.54,9,59.7,90,STARTER,HARMLESS,0.0
36,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.53,2,76.6,90,STARTER,HARMLESS,0.0
36,Danny Welbeck,BHA,FORWARD,START,START,3.71,2,57.1,75,STARTER,HARMLESS,0.0
36,Cole Palmer,CHE,MIDFIELDER,START,START,3.23,2,57.9,90,BENCH,HARMLESS,0.0
36,Enzo Fernández,CHE,MIDFIELDER,START,START,3.29,8,72.5,90,STARTER,HARMLESS,0.0
36,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,5.43,1,61.8,81,STARTER,HARMLESS,0.0
36,Jordan Pickford,EVE,GOALKEEPER,START,START,3.17,3,79.6,90,BENCH,HARMLESS,0.0
36,James Tarkowski,EVE,DEFENDER,START,START,2.85,15,76.6,90,AUTOSUB_IN,HARMLESS,0.0
36,Nico O'Reilly,MCI,DEFENDER,START,NO_PLAY,8.66,0,76.6,0,CAPTAIN,BOTH,8.7
36,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.65,3,76.8,90,STARTER,HARMLESS,0.0
36,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.49,7,76.6,90,STARTER,HARMLESS,0.0
36,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,7.66,8,79.6,90,STARTER,HARMLESS,0.0
36,Axel Disasi,WHU,DEFENDER,START,START,2.57,2,76.0,84,BENCH,HARMLESS,0.0
37,David Raya Martín,ARS,GOALKEEPER,START,START,5.0,6,79.6,90,STARTER,HARMLESS,0.0
37,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,START,5.59,6,76.6,90,CAPTAIN,HARMLESS,0.0
37,Declan Rice,ARS,MIDFIELDER,START,START,4.17,5,76.4,90,STARTER,HARMLESS,0.0
37,Antoine Semenyo,MCI,MIDFIELDER,START,START,3.61,1,76.7,55,STARTER,HARMLESS,0.0
37,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.44,2,76.6,90,STARTER,HARMLESS,0.0
37,Danny Welbeck,BHA,FORWARD,START,START,2.97,2,57.1,64,BENCH,HARMLESS,0.0
37,Cole Palmer,CHE,MIDFIELDER,START,START,3.75,2,57.9,88,STARTER,HARMLESS,0.0
37,Enzo Fernández,CHE,MIDFIELDER,START,START,3.89,13,72.5,90,STARTER,HARMLESS,0.0
37,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,2.78,6,64.3,90,STARTER,HARMLESS,0.0
37,Jordan Pickford,EVE,GOALKEEPER,START,START,3.99,1,79.6,90,BENCH,HARMLESS,0.0
37,James Tarkowski,EVE,DEFENDER,START,START,3.95,3,76.6,90,STARTER,HARMLESS,0.0
37,Nico O'Reilly,MCI,DEFENDER,START,START,2.57,2,55.1,90,BENCH,HARMLESS,0.0
37,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,5.06,9,76.8,90,STARTER,HARMLESS,0.0
37,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.85,7,76.6,90,STARTER,HARMLESS,0.0
37,Axel Disasi,WHU,DEFENDER,START,START,2.4,1,76.0,90,BENCH,HARMLESS,0.0
38,David Raya Martín,ARS,GOALKEEPER,START,NO_PLAY,3.84,0,79.6,0,STARTER,BOTH,3.8
38,Gabriel dos Santos Magalhães,ARS,DEFENDER,START,SUB,4.02,1,76.6,45,STARTER,PREDICTION_ERROR,3.0
38,Declan Rice,ARS,MIDFIELDER,START,NO_PLAY,3.3,0,76.4,0,BENCH,HARMLESS,0.0
38,Antoine Semenyo,MCI,MIDFIELDER,START,START,3.76,6,60.0,57,STARTER,HARMLESS,0.0
38,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.73,2,76.6,90,STARTER,HARMLESS,0.0
38,Danny Welbeck,BHA,FORWARD,START,START,3.23,1,57.8,58,AUTOSUB_IN,HARMLESS,0.0
38,Cole Palmer,CHE,MIDFIELDER,START,START,3.88,8,72.7,90,STARTER,HARMLESS,0.0
38,Enzo Fernández,CHE,MIDFIELDER,START,START,3.74,1,76.8,90,STARTER,HARMLESS,0.0
38,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,3.3,1,76.6,45,STARTER,HARMLESS,0.0
38,Marc Guéhi,MCI,DEFENDER,START,NO_PLAY,3.95,0,76.6,0,STARTER,BOTH,4.0
38,Jordan Pickford,EVE,GOALKEEPER,START,START,3.14,2,79.6,90,AUTOSUB_IN,HARMLESS,0.0
38,Nico O'Reilly,MCI,DEFENDER,START,NO_PLAY,3.74,0,61.0,0,STARTER,BOTH,3.7
