season,weight,net_points,gross_points,hits,transfers,zero_min_starters,captain_zero_mins,bench_regret,transfer_gain,points_vs_notransfer,duration_seconds,normalized_points
2021-22,0.0,1748,1748,0,37,99,3,170,103,275,3.2,1.0
2021-22,0.05,1748,1748,0,37,99,3,170,103,275,3.4,1.0
2021-22,0.1,1748,1748,0,37,99,3,170,103,275,3.3,1.0
2021-22,0.15,1748,1748,0,37,99,3,170,103,275,3.7,1.0
2021-22,0.2,1748,1748,0,37,98,3,170,103,275,3.4,1.0
2021-22,0.25,1748,1748,0,37,98,3,170,103,275,3.3,1.0
2021-22,0.3,1748,1748,0,37,98,3,170,103,275,3.4,1.0
2021-22,0.35,1748,1748,0,37,98,3,170,103,275,3.2,1.0
