season,weight,net_points,gross_points,hits,transfers,zero_min_starters,captain_zero_mins,bench_regret,transfer_gain,points_vs_notransfer,duration_seconds,normalized_points
2022-23,0.0,1830,1830,0,34,62,3,295,72,361,3.3,0.989
2022-23,0.05,1833,1833,0,34,61,3,292,72,364,3.4,0.9973
2022-23,0.1,1833,1833,0,34,61,3,292,72,364,3.3,0.9973
2022-23,0.15,1833,1833,0,34,60,3,292,72,364,3.3,0.9973
2022-23,0.2,1834,1834,0,34,60,3,291,72,365,3.3,1.0
2022-23,0.25,1834,1834,0,34,60,3,291,72,365,3.3,1.0
2022-23,0.3,1834,1834,0,34,59,3,291,72,365,3.3,1.0
2022-23,0.35,1834,1834,0,34,58,3,291,72,365,3.4,1.0
