season,weight,net_points,gross_points,hits,transfers,zero_min_starters,captain_zero_mins,bench_regret,transfer_gain,points_vs_notransfer,duration_seconds,normalized_points
2023-24,0.0,2260,2260,0,37,43,4,238,101,648,3.9,1.0
2023-24,0.05,2244,2244,0,37,44,4,254,101,632,3.9,0.9753
2023-24,0.1,2244,2244,0,37,44,4,254,101,632,3.9,0.9753
2023-24,0.15,2244,2244,0,37,44,4,254,101,632,4.0,0.9753
2023-24,0.2,2244,2244,0,37,44,4,254,101,632,3.9,0.9753
2023-24,0.25,2244,2244,0,37,43,4,254,101,632,3.8,0.9753
2023-24,0.3,2245,2245,0,37,43,4,253,101,633,3.9,0.9769
2023-24,0.35,2245,2245,0,37,43,4,253,101,633,3.9,0.9769
