season,weight,net_points,gross_points,hits,transfers,zero_min_starters,captain_zero_mins,bench_regret,transfer_gain,points_vs_notransfer,duration_seconds,normalized_points
2025-26,0.0,2014,2014,0,37,44,4,247,154,412,3.9,0.9976
2025-26,0.05,2014,2014,0,37,42,4,247,154,412,4.0,0.9976
2025-26,0.1,2014,2014,0,37,42,4,247,154,412,3.9,0.9976
2025-26,0.15,2014,2014,0,37,42,4,247,154,412,3.9,0.9976
2025-26,0.2,2015,2015,0,37,42,4,246,154,413,3.9,1.0
2025-26,0.25,2015,2015,0,37,42,4,246,154,413,4.0,1.0
2025-26,0.3,2015,2015,0,37,42,4,246,154,413,4.0,1.0
2025-26,0.35,2015,2015,0,37,42,4,246,154,413,4.0,1.0
